id	gamma	Nsteps	stepsize	Nchians	KSD	run_time	NaNratio
1	0.2	10	0.2	10	349.5715582971385	29.194947856	1.0
2	0.2	10	0.2	10	3172.3486007579468	18.636526556	1.0
3	0.2	10	0.2	10	2544.498366616154	22.326944256	1.0
1	0.2	10	0.5	10	994.2317209082238	22.281773728	1.0
2	0.2	10	0.5	10	3173.6897184957525	15.995276995	1.0
3	0.2	10	0.5	10	1780.251367698612	16.015122976	1.0
1	0.2	10	1.0	10	994.1942396651082	16.22030583	1.0
2	0.2	10	1.0	10	3172.9696849957	17.187094284	1.0
3	0.2	10	1.0	10	571.8471960492708	21.349637405	1.0
1	0.2	20	0.2	10	3377.379655298694	42.00880129	1.0
2	0.2	20	0.2	10	5379.506617483059	42.86320902	1.0
3	0.2	20	0.2	10	1187.8670261574955	41.427505587	1.0
1	0.2	20	0.5	10	993.8851403608451	42.316718135	1.0
2	0.2	20	0.5	10	3172.6517298283866	41.594509374	1.0
3	0.2	20	0.5	10	609.1285417435224	42.015317904	1.0
1	0.2	20	1.0	10	994.2317209082238	40.055718532	1.0
2	0.2	20	1.0	10	1278.2541190852035	42.127791405	1.0
3	0.2	20	1.0	10	1383.7422887517607	42.668149492	1.0
1	0.5	10	0.2	10	994.7262809094418	20.437962718	1.0
2	0.5	10	0.2	10	3173.6897184957525	20.569487379	1.0
3	0.5	10	0.2	10	2511.8287471847057	21.672296658	1.0
1	0.5	10	0.5	10	1397.598045571817	22.060314824	1.0
2	0.5	10	0.5	10	1754.0008368700605	21.008104896	1.0
3	0.5	10	0.5	10	599.8302235291477	21.805236474	1.0
1	0.5	10	1.0	10	3988.146619920171	21.379875379	1.0
2	0.5	10	1.0	10	2419.859135060831	31.336748964	1.0
3	0.5	10	1.0	10	588.6801923334068	21.885189134	1.0
1	0.5	20	0.2	10	3475.4393992560967	42.147351635	1.0
2	0.5	20	0.2	10	3172.454458594597	42.104026654	1.0
3	0.5	20	0.2	10	306.5872862754105	42.897172634	1.0
1	0.5	20	0.5	10	1629.1661743563263	41.740176023	1.0
2	0.5	20	0.5	10	2880.6592795493666	43.17096626	1.0
3	0.5	20	0.5	10	480.0207090455774	42.138599075	1.0
1	0.5	20	1.0	10	67.26167537175326	43.91738267	1.0
2	0.5	20	1.0	10	530.5216367948534	42.130478281	1.0
3	0.5	20	1.0	10	1319.4702728513705	42.77047059	1.0
1	1.0	10	0.2	10	994.5704718595277	20.678053971	1.0
2	1.0	10	0.2	10	2053.3635523701023	23.260209788	1.0
3	1.0	10	0.2	10	1319.7458937273173	21.859531365	1.0
1	1.0	10	0.5	10	994.2317209082238	21.123934369	1.0
2	1.0	10	0.5	10	1848.383098722345	22.585713346	1.0
3	1.0	10	0.5	10	1008.1284499646093	23.252285884	1.0
1	1.0	10	1.0	10	786.7372667278845	22.273977035	1.0
2	1.0	10	1.0	10	3173.6897184957525	21.454705708	1.0
3	1.0	10	1.0	10	1319.1523721037047	20.988121385	1.0
1	1.0	20	0.2	10	385.0029488647265	41.787951258	1.0
2	1.0	20	0.2	10	931.9641067877475	42.589026095	1.0
3	1.0	20	0.2	10	1319.7458937273173	40.678285007	1.0
1	1.0	20	0.5	10	2113.2850843762435	43.302653118	1.0
2	1.0	20	0.5	10	679.954498484211	40.84236696	1.0
3	1.0	20	0.5	10	1837.421375841374	40.927005267	1.0
1	1.0	20	1.0	10	2227.1192900407227	44.008927255	1.0
2	1.0	20	1.0	10	1069.0152886242454	41.272505513	1.0
3	1.0	20	1.0	10	739.8457839345748	42.522550623	1.0
