id	gamma	Nsteps	stepsize	Nchians	KSD	run_time	NaNratio
1	0.2	10	0.2	10	204.91549623975766	31.6866368	1.0
2	0.2	10	0.2	10	266.1869229605362	23.343114724	1.0
3	0.2	10	0.2	10	407.3791514718848	19.101711659	1.0
1	0.2	10	0.5	10	105.67560086201479	17.601023332	1.0
2	0.2	10	0.5	10	244.23101145380474	19.302932531	1.0
3	0.2	10	0.5	10	140.4712336376059	19.691507343	1.0
1	0.2	10	1.0	10	105.72118415161	23.703059191	1.0
2	0.2	10	1.0	10	244.00722271187496	25.259456087	1.0
3	0.2	10	1.0	10	136.5884124301493	24.412764657	1.0
1	0.2	20	0.2	10	193.4296850255045	48.918320422	1.0
2	0.2	20	0.2	10	244.3923267251089	47.641082708	1.0
3	0.2	20	0.2	10	132.36923691490117	48.285413685	1.0
1	0.2	20	0.5	10	103.49335978459264	46.488519455	1.0
2	0.2	20	0.5	10	138.4746659754297	47.043923657	1.0
3	0.2	20	0.5	10	136.6095834529195	46.430579393	1.0
1	0.2	20	1.0	10	136.78162900055983	45.880041383	1.0
2	0.2	20	1.0	10	244.39955555370693	44.425951693	1.0
3	0.2	20	1.0	10	136.63206982806068	43.407618826	1.0
1	0.5	10	0.2	10	105.65864505497326	21.903188768	1.0
2	0.5	10	0.2	10	244.39955555370693	22.737785479	1.0
3	0.5	10	0.2	10	136.63206982806068	22.431190634	1.0
1	0.5	10	0.5	10	105.67560086201479	22.896044017	1.0
2	0.5	10	0.5	10	244.39955555370693	22.237658126	1.0
3	0.5	10	0.5	10	136.63206982806068	22.553662821	1.0
1	0.5	10	1.0	10	105.67560086201479	22.786209026	1.0
2	0.5	10	1.0	10	244.39955555370693	22.127849126	1.0
3	0.5	10	1.0	10	136.63206982806068	22.250251539	1.0
1	0.5	20	0.2	10	105.67560086201479	45.537795569	1.0
2	0.5	20	0.2	10	244.39955555370693	45.263435781	1.0
3	0.5	20	0.2	10	136.63206982806068	44.636909364	1.0
1	0.5	20	0.5	10	105.66889805341994	44.267990482	1.0
2	0.5	20	0.5	10	244.39955555370693	44.373599151	1.0
3	0.5	20	0.5	10	548.1839720478405	44.840720784	1.0
1	0.5	20	1.0	10	101.71847393152558	46.458147689	1.0
2	0.5	20	1.0	10	244.3118728710128	45.843697348	1.0
3	0.5	20	1.0	10	136.63206982806068	44.541964415	1.0
1	1.0	10	0.2	10	177.15475258192635	22.89137955	1.0
2	1.0	10	0.2	10	244.39955555370693	22.417162007	1.0
3	1.0	10	0.2	10	136.63206982806068	23.063186608	1.0
1	1.0	10	0.5	10	105.67560086201479	22.581905999	1.0
2	1.0	10	0.5	10	244.40859211540817	23.209698802	1.0
3	1.0	10	0.5	10	136.59205505743824	22.243448818	1.0
1	1.0	10	1.0	10	105.67560086201479	22.903055831	1.0
2	1.0	10	1.0	10	244.39955555370693	22.256596275	1.0
3	1.0	10	1.0	10	136.63206982806068	22.773679647	1.0
1	1.0	20	0.2	10	105.67560086201479	45.733630896	1.0
2	1.0	20	0.2	10	241.41574300995063	46.4608286	1.0
3	1.0	20	0.2	10	136.63206982806068	46.175527131	1.0
1	1.0	20	0.5	10	395.5415375625834	45.189813813	1.0
2	1.0	20	0.5	10	233.37388474719702	45.005606037	1.0
3	1.0	20	0.5	10	136.63206982806068	44.798153644	1.0
1	1.0	20	1.0	10	170.89863323092655	45.271999027	1.0
2	1.0	20	1.0	10	244.37624731546907	46.79425524	1.0
3	1.0	20	1.0	10	136.63206982806068	41.640361614	1.0
