id	gamma	Nsteps	stepsize	Nchians	KSD	run_time	NaNratio
1	0.2	10	0.2	10	22.594212979386107	17.486849476	0.0
2	0.2	10	0.2	10	3.2854734541632795	10.084887009	0.0
3	0.2	10	0.2	10	12.809597554547873	9.79393815	0.0
1	0.2	10	0.5	10	2.1157333915597825	9.976017396	1.0
2	0.2	10	0.5	10	6.377338970367958	9.609741507	1.0
3	0.2	10	0.5	10	4.4019217982403545	9.695220857	1.0
1	0.2	10	1.0	10	2.0748177138139043	9.489766113	1.0
2	0.2	10	1.0	10	2.84052152141726	9.503979545	1.0
3	0.2	10	1.0	10	4.401190546396577	9.405839712	1.0
1	0.2	20	0.2	10	4.91333047875044	19.277789744	0.0
2	0.2	20	0.2	10	11.53260305266943	19.350870437	0.0
3	0.2	20	0.2	10	9.937112104853375	19.010104651	0.0
1	0.2	20	0.5	10	1.686564985643448	18.509096649	1.0
2	0.2	20	0.5	10	3.048565189281828	19.15789622	1.0
3	0.2	20	0.5	10	4.4019217982403545	19.434383318	1.0
1	0.2	20	1.0	10	1.5168015759195381	19.006759678	1.0
2	0.2	20	1.0	10	2.092858391558361	18.886105036	1.0
3	0.2	20	1.0	10	4.401543049535912	18.580976961	1.0
1	0.5	10	0.2	10	0.240304465723258	9.610796802	0.0
2	0.5	10	0.2	10	0.09119081229218688	9.607677138	0.0
3	0.5	10	0.2	10	0.13872532168221036	9.719579678	0.0
1	0.5	10	0.5	10	1.6862175377431958	9.727821075	1.0
2	0.5	10	0.5	10	2.0926577593103244	10.087629067	1.0
3	0.5	10	0.5	10	4.401055132823894	9.67290836	1.0
1	0.5	10	1.0	10	1.6860543111817774	9.862671904	1.0
2	0.5	10	1.0	10	2.091929680483022	10.421929312	1.0
3	0.5	10	1.0	10	4.40078518830159	9.403862094	1.0
1	0.5	20	0.2	10	0.09986356853403514	19.06952068	0.0
2	0.5	20	0.2	10	0.19680580583897503	19.416297874	0.0
3	0.5	20	0.2	10	0.1501671399442725	20.060932634	0.0
1	0.5	20	0.5	10	1.6643606983843409	19.754976078	1.0
2	0.5	20	0.5	10	9.969733891925781	19.733587671	1.0
3	0.5	20	0.5	10	4.399918001196795	20.191012812	1.0
1	0.5	20	1.0	10	4.974150735775478	19.682149513	1.0
2	0.5	20	1.0	10	5.519473698273969	19.123448648	1.0
3	0.5	20	1.0	10	4.400395065172616	18.769415498	1.0
1	1.0	10	0.2	10	0.2301129373768655	9.999613931	0.0
2	1.0	10	0.2	10	0.11992253803942292	9.826554541	0.0
3	1.0	10	0.2	10	0.10945773562850024	10.607582648	0.0
1	1.0	10	0.5	10	2.922957683463869	9.942669191	1.0
2	1.0	10	0.5	10	2.0920760546005064	9.28393419	1.0
3	1.0	10	0.5	10	4.4019217982403545	9.45632708	1.0
1	1.0	10	1.0	10	1.6862628906960733	9.939731035	1.0
2	1.0	10	1.0	10	2.911501897703672	9.839588554	1.0
3	1.0	10	1.0	10	4.40047065012563	9.859602821	1.0
1	1.0	20	0.2	10	0.1220560110580523	19.164953989	0.0
2	1.0	20	0.2	10	0.13908920665549537	19.161022916	0.0
3	1.0	20	0.2	10	0.11537473868729656	20.099722963	0.0
1	1.0	20	0.5	10	2.4245762280406615	19.661182119	1.0
2	1.0	20	0.5	10	6.451179284361599	20.096983051	1.0
3	1.0	20	0.5	10	4.730920451416178	21.94662838	1.0
1	1.0	20	1.0	10	2.4047884963165758	22.374808528	1.0
2	1.0	20	1.0	10	1.2932075108671142	22.953892278	1.0
3	1.0	20	1.0	10	4.392922017864231	22.507774417	1.0
